sistem,P@1,P@5,R@10,MRR,MAP,nDCG@10,kosong,latensi_ms
B0,0.6615,0.2908,0.5935,0.7247,0.5147,0.6313,0.1538,0.35
B1,0.4923,0.3123,0.5999,0.6124,0.4690,0.5675,0.0885,0.45
B2,0.4038,0.2754,0.5423,0.5275,0.4011,0.5011,0.0885,0.61
E1,0.6231,0.3800,0.7119,0.7366,0.5826,0.6811,0.0000,2.02
E2,0.1077,0.1977,0.6376,0.3755,0.2310,0.3852,0.0000,2.03
E3,0.6808,0.3315,0.7431,0.7797,0.5252,0.6702,0.0000,3.50
E4,0.3154,0.2554,0.6868,0.4826,0.3670,0.4674,0.0000,15.60
