sistem,P@1,P@5,R@10,MRR,MAP,nDCG@10,kosong,latensi_ms
B0,0.6889,0.1867,0.5206,0.7429,0.4663,0.6276,0.1833,0.15
B1,0.5722,0.2667,0.6661,0.6906,0.5229,0.6456,0.1111,0.14
B2,0.5333,0.2500,0.6575,0.6512,0.4852,0.6150,0.1111,0.22
E1,0.7722,0.3289,0.7963,0.8701,0.6702,0.8020,0.0056,1.20
E2,0.3111,0.2611,0.7714,0.5793,0.4178,0.5825,0.0056,1.54
E3,0.8056,0.3144,0.7939,0.8867,0.6677,0.8146,0.0056,1.50
E4,0.4667,0.2900,0.7675,0.6095,0.5037,0.5980,0.0056,9.07
